Trial,A,W,Direction,Method,MT,Result
0,0.3,0.1,-1,Pinch,5.006804,MISS
1,0.6,0.1,-1,False,1.413194,HIT
2,0.3,0.18,-1,Pinch,5.005846,MISS
3,0.6,0.18,-1,False,0.9941521,HIT
4,0.3,0.1,1,Pinch,5.005425,MISS
5,0.6,0.1,1,False,1.114573,HIT
6,0.3,0.18,1,Pinch,5.010031,MISS
7,0.6,0.18,1,False,0.849968,HIT
8,0.3,0.1,-1,Pinch,5.010981,MISS
9,0.6,0.1,-1,False,0.8290176,HIT
10,0.3,0.18,-1,Pinch,5.003647,MISS
11,0.6,0.18,-1,False,1.596352,HIT
12,0.3,0.1,1,Pinch,5.002895,MISS
13,0.6,0.1,1,Touch,5.00227,MISS
14,0.3,0.18,1,Pinch,5.002018,MISS
15,0.6,0.18,1,Touch,5.002689,MISS
0,0.3,0.1,-1,Pinch,5.012115,MISS
1,0.6,0.1,-1,False,2.527882,HIT
2,0.3,0.18,-1,Pinch,5.004984,MISS
3,0.6,0.18,-1,False,1.155014,HIT
4,0.3,0.1,1,Pinch,5.004919,MISS
5,0.6,0.1,1,Touch,5.001976,MISS
6,0.3,0.18,1,Pinch,5.012484,MISS
7,0.6,0.18,1,Touch,5.013044,MISS
8,0.3,0.1,-1,Pinch,5.01239,MISS
9,0.6,0.1,-1,Touch,5.011005,MISS
0,0.3,0.1,-1,Pinch,5.001718,MISS
1,0.6,0.1,-1,False,4.218278,HIT
2,0.3,0.18,-1,Pinch,5.012205,MISS
3,0.6,0.18,-1,False,1.207793,HIT
4,0.3,0.1,1,Pinch,5.001112,MISS
5,0.6,0.1,1,False,1.298885,HIT
6,0.3,0.18,1,Pinch,5.007046,MISS
7,0.6,0.18,1,False,1.232952,HIT
0,0.3,0.1,-1,Pinch,5.001911,MISS
1,0.6,0.1,-1,Touch,5.012857,MISS
2,0.3,0.18,-1,Pinch,5.010812,MISS
3,0.6,0.18,-1,False,1.694413,HIT
4,0.3,0.1,1,Pinch,5.001755,MISS
5,0.6,0.1,1,False,1.118244,HIT
6,0.3,0.18,1,Pinch,5.006889,MISS
7,0.6,0.18,1,False,1.273108,HIT
8,0.3,0.1,-1,Pinch,5.005007,MISS
9,0.6,0.1,-1,False,2.554993,HIT
10,0.3,0.18,-1,Pinch,5.004139,MISS
11,0.6,0.18,-1,False,1.295856,HIT
12,0.3,0.1,1,Pinch,5.009911,MISS
13,0.6,0.1,1,False,1.230087,HIT
14,0.3,0.18,1,Pinch,5.006542,MISS
15,0.6,0.18,1,False,0.8334579,HIT
16,0.3,0.1,-1,Pinch,5.013199,MISS
17,0.6,0.1,-1,False,1.066795,HIT
18,0.3,0.18,-1,Pinch,5.003548,MISS
0,0.3,0.1,-1,Pinch,5.007697,MISS
1,0.6,0.1,-1,False,1.032301,HIT
2,0.3,0.18,-1,Pinch,5.010091,MISS
3,0.6,0.18,-1,Touch,5.012566,MISS
4,0.3,0.1,1,Pinch,5.010431,MISS
5,0.6,0.1,1,Touch,5.01107,MISS
6,0.3,0.18,1,Pinch,5.011801,MISS
7,0.6,0.18,1,False,1.244032,HIT
8,0.3,0.1,-1,Pinch,5.004765,MISS
9,0.6,0.1,-1,Touch,5.001469,MISS
10,0.3,0.18,-1,Pinch,5.012466,MISS
0,0.3,0.1,-1,Pinch,5.00603,MISS
1,0.6,0.1,-1,False,1.373968,HIT
2,0.3,0.18,-1,Pinch,5.002847,MISS
3,0.6,0.18,-1,False,1.477151,HIT
4,0.3,0.1,1,Pinch,5.010392,MISS
5,0.6,0.1,1,False,0.9496059,HIT
6,0.3,0.18,1,Pinch,5.00812,MISS
7,0.6,0.18,1,False,1.271877,HIT
8,0.3,0.1,-1,Pinch,5.006348,MISS
9,0.6,0.1,-1,False,1.29365,HIT
10,0.3,0.18,-1,Pinch,5.010572,MISS
11,0.6,0.18,-1,False,0.629425,HIT
12,0.3,0.1,1,Pinch,5.010017,MISS
13,0.6,0.1,1,False,1.509983,HIT
14,0.3,0.18,1,Pinch,5.005039,MISS
15,0.6,0.18,1,False,1.034958,HIT
16,0.3,0.1,-1,Pinch,5.006687,MISS
17,0.6,0.1,-1,False,2.35331,HIT
18,0.3,0.18,-1,Pinch,5.011005,MISS
19,0.6,0.18,-1,Touch,5.002548,MISS
20,0.3,0.1,1,Pinch,5.004677,MISS
0,0.3,0.1,-1,Pinch,5.01333,MISS
1,0.6,0.1,-1,Touch,5.032951,MISS
0,0.3,0.1,-1,Pinch,5.012543,MISS
1,0.6,0.1,-1,Touch,5.000038,MISS
2,0.3,0.18,-1,Pinch,5.011001,MISS
3,0.6,0.18,-1,False,1.836413,HIT
4,0.3,0.1,1,Pinch,5.013206,MISS
5,0.6,0.1,1,False,1.66679,HIT
6,0.3,0.18,1,Pinch,5.000444,MISS
7,0.6,0.18,1,Touch,5.012768,MISS
8,0.3,0.1,-1,Pinch,5.010647,MISS
9,0.6,0.1,-1,Touch,5.004974,MISS
10,0.3,0.18,-1,Pinch,5.004528,MISS
11,0.6,0.18,-1,Touch,5.001125,MISS
12,0.3,0.1,1,Pinch,5.00042,MISS
13,0.6,0.1,1,Touch,5.002499,MISS
14,0.3,0.18,1,Pinch,5.001293,MISS
15,0.6,0.18,1,Touch,5.005386,MISS
16,0.3,0.1,-1,Pinch,5.001244,MISS
17,0.6,0.1,-1,Touch,5.009048,MISS
18,0.3,0.18,-1,Pinch,5.001259,MISS
19,0.6,0.18,-1,Touch,5.004051,MISS
20,0.3,0.1,1,Pinch,5.013847,MISS
21,0.6,0.1,1,Touch,5.011551,MISS
22,0.3,0.18,1,Pinch,5.011787,MISS
23,0.6,0.18,1,Touch,5.011208,MISS
24,0.3,0.1,-1,Pinch,5.011864,MISS
25,0.6,0.1,-1,Touch,5.011749,MISS
26,0.3,0.18,-1,Pinch,5.01194,MISS
27,0.6,0.18,-1,Touch,5.011261,MISS
28,0.3,0.1,1,Pinch,5.010742,MISS
29,0.6,0.1,1,Touch,5.012054,MISS
30,0.3,0.18,1,Pinch,5.011276,MISS
31,0.6,0.18,1,Touch,5.011398,MISS
0,0.3,0.1,-1,True,1.257434,HIT
1,0.6,0.1,-1,Touch,5.006219,MISS
2,0.3,0.18,-1,True,0.5012088,HIT
3,0.6,0.18,-1,False,2.735134,HIT
4,0.3,0.1,1,True,1.78,HIT
5,0.6,0.1,1,False,1.86,HIT
6,0.3,0.18,1,True,1.759999,HIT
7,0.6,0.18,1,False,2.059999,HIT
8,0.3,0.1,-1,Pinch,5.000757,MISS
9,0.6,0.1,-1,Touch,5.000525,MISS
10,0.3,0.18,-1,True,0.0609436,HIT
11,0.6,0.18,-1,Touch,5.000685,MISS
12,0.3,0.1,1,True,0.007823944,HIT
13,0.6,0.1,1,Touch,5.000748,MISS
14,0.3,0.18,1,Pinch,5.008308,MISS
15,0.6,0.18,1,False,3.500202,HIT
16,0.3,0.1,-1,True,1.099998,HIT
17,0.6,0.1,-1,Touch,5.007706,MISS
18,0.3,0.18,-1,True,0.01407242,HIT
19,0.6,0.18,-1,Touch,5.012089,MISS
20,0.3,0.1,1,True,0.01396561,HIT
21,0.6,0.1,1,Touch,5.01128,MISS
22,0.3,0.18,1,True,0.01395416,HIT
23,0.6,0.18,1,Touch,5.011314,MISS
24,0.3,0.1,-1,True,0.01407623,HIT
0,0.3,0.1,-1,True,1.244655,HIT
1,0.6,0.1,-1,False,1.275344,HIT
2,0.3,0.18,-1,True,1.44,HIT
3,0.6,0.18,-1,Touch,5.013298,MISS
4,0.3,0.1,1,True,0.01396561,HIT
5,0.6,0.1,1,False,1.772735,HIT
6,0.3,0.18,1,True,2.499999,HIT
7,0.6,0.18,1,Touch,5.012387,MISS
8,0.3,0.1,-1,True,0.01414108,HIT
9,0.6,0.1,-1,Touch,5.011406,MISS
10,0.3,0.18,-1,True,0.01427841,HIT
11,0.6,0.18,-1,Touch,5.010845,MISS
12,0.3,0.1,1,True,0.01402092,HIT
13,0.6,0.1,1,Touch,5.011471,MISS
14,0.3,0.18,1,True,0.01411438,HIT
0,0.3,0.1,-1,True,1.246407,HIT
1,0.6,0.1,-1,Touch,5.003682,MISS
2,0.3,0.18,-1,True,0.01413488,HIT
3,0.6,0.18,-1,Touch,5.012117,MISS
4,0.3,0.1,1,True,0.01400375,HIT
5,0.6,0.1,1,Touch,5.0114,MISS
6,0.3,0.18,1,True,2.588865,HIT
7,0.6,0.18,1,False,1.269382,HIT
8,0.3,0.1,-1,True,1.460001,HIT
9,0.6,0.1,-1,False,1.259998,HIT
10,0.3,0.18,-1,Pinch,5.003477,MISS
11,0.6,0.18,-1,False,0.8165207,HIT
12,0.3,0.1,1,True,1.360001,HIT
13,0.6,0.1,1,False,1.4,HIT
14,0.3,0.18,1,True,0.8399982,HIT
15,0.6,0.18,1,False,1,HIT
16,0.3,0.1,-1,True,0.9799995,HIT
17,0.6,0.1,-1,False,0.7999992,HIT
18,0.3,0.18,-1,True,0.9799995,HIT
19,0.6,0.18,-1,False,0.8800011,HIT
20,0.3,0.1,1,True,2.48,HIT
21,0.6,0.1,1,False,1.099998,HIT
22,0.3,0.18,1,True,2.5,HIT
23,0.6,0.18,1,False,1.059998,HIT
24,0.3,0.1,-1,True,0.9600029,HIT
25,0.6,0.1,-1,False,0.7999992,HIT
26,0.3,0.18,-1,True,2.679996,HIT
27,0.6,0.18,-1,False,0.7800026,HIT
28,0.3,0.1,1,True,2.519997,HIT
29,0.6,0.1,1,False,0.9400024,HIT
30,0.3,0.18,1,True,1.619999,HIT
31,0.6,0.18,1,False,0.8199997,HIT
32,0.6,0.18,1,Touch,5.004768,MISS
0,0.3,0.1,-1,True,2.150017,HIT
1,0.6,0.1,-1,False,3.889982,HIT
2,0.3,0.18,-1,True,1.259999,HIT
3,0.6,0.18,-1,False,0.8400002,HIT
4,0.3,0.1,1,True,1.659999,HIT
5,0.6,0.1,1,Touch,5.007713,MISS
6,0.3,0.18,1,True,0.6130085,HIT
7,0.6,0.18,1,Touch,5.010758,MISS
8,0.3,0.1,-1,True,0.01397514,HIT
9,0.6,0.1,-1,False,1.074541,HIT
10,0.3,0.18,-1,True,2.339998,HIT
11,0.6,0.18,-1,False,0.6800003,HIT
12,0.3,0.1,1,True,0.7399998,HIT
13,0.6,0.1,1,Touch,5.007549,MISS
14,0.3,0.18,1,True,0.01434898,HIT
15,0.6,0.18,1,Touch,5.006109,MISS
16,0.3,0.1,-1,True,2.404984,HIT
0,0.3,0.1,-1,Pinch,1.415608,HIT
1,0.6,0.1,-1,Touch,5.005988,MISS
2,0.3,0.18,-1,Pinch,0.6263041,HIT
3,0.6,0.18,-1,Touch,2.432096,HIT
4,0.3,0.1,1,Pinch,5.002066,MISS
5,0.6,0.1,1,Touch,5.011653,MISS
6,0.3,0.18,1,Pinch,0,HIT
7,0.6,0.18,1,Touch,5.010994,MISS
8,0.3,0.1,-1,Pinch,0.01408386,HIT
9,0.6,0.1,-1,Touch,5.010857,MISS
10,0.3,0.18,-1,Pinch,0.01418686,HIT
11,0.6,0.18,-1,Touch,0.5761528,HIT
12,0.3,0.1,1,Pinch,1.439999,HIT
13,0.6,0.1,1,Touch,2.74,HIT
14,0.3,0.18,1,Pinch,1.759998,HIT
15,0.6,0.18,1,Touch,0.7999992,HIT
16,0.3,0.1,-1,Pinch,2.280003,HIT
17,0.6,0.1,-1,Touch,1.339996,HIT
18,0.3,0.18,-1,Pinch,1.240002,HIT
19,0.6,0.18,-1,Touch,5.002941,MISS
20,0.3,0.1,1,Pinch,0.01383972,HIT
21,0.6,0.1,1,Touch,1.843216,HIT
22,0.3,0.18,1,Pinch,5.003361,MISS
23,0.6,0.18,1,Touch,5.001286,MISS
24,0.3,0.1,-1,Pinch,5.001881,MISS
25,0.6,0.1,-1,Touch,5.005211,MISS
26,0.3,0.18,-1,Pinch,5.001335,MISS
27,0.6,0.18,-1,Touch,5.004166,MISS
28,0.3,0.1,1,Pinch,5.003304,MISS
29,0.6,0.1,1,Touch,5.001671,MISS
30,0.3,0.18,1,Pinch,5.004509,MISS
31,0.6,0.18,1,Touch,5.000168,MISS
0,0.3,0.1,-1,Pinch,1.282091,HIT
1,0.6,0.1,-1,Touch,5.013384,MISS
2,0.3,0.18,-1,Pinch,0.01387024,HIT
3,0.6,0.18,-1,Touch,1.490652,HIT
4,0.3,0.1,1,Pinch,5.010427,MISS
5,0.6,0.1,1,Touch,5.011846,MISS
6,0.3,0.18,1,Pinch,0,HIT
7,0.6,0.18,1,Touch,5.011312,MISS
8,0.3,0.1,-1,Pinch,0.01401711,HIT
9,0.6,0.1,-1,Touch,5.011677,MISS
10,0.3,0.18,-1,Pinch,0.01386452,HIT
0,0.3,0.1,-1,Pinch,5.012818,MISS
1,0.6,0.1,-1,Touch,1.04718,HIT
2,0.3,0.18,-1,Pinch,5.009658,MISS
3,0.6,0.18,-1,Touch,0.9503393,HIT
4,0.3,0.1,1,Pinch,5.007485,MISS
5,0.6,0.1,1,Touch,1.072512,HIT
6,0.3,0.18,1,Pinch,5.0109,MISS
7,0.6,0.18,1,Touch,5.011698,MISS
8,0.3,0.1,-1,Pinch,0,HIT
9,0.6,0.1,-1,Touch,5.004427,MISS
10,0.3,0.18,-1,Pinch,5.000801,MISS
11,0.6,0.18,-1,Touch,5.003338,MISS
12,0.3,0.1,1,Pinch,5.000107,MISS
13,0.6,0.1,1,Touch,5.002865,MISS
14,0.3,0.18,1,Pinch,5.001831,MISS
15,0.6,0.18,1,Touch,5.000446,MISS
16,0.3,0.1,-1,Pinch,5.00061,MISS
17,0.6,0.1,-1,Touch,5.002312,MISS
18,0.3,0.18,-1,Pinch,5.003929,MISS
19,0.6,0.18,-1,Touch,5.004364,MISS
20,0.3,0.1,1,Pinch,5.00016,MISS
21,0.6,0.1,1,Touch,5.003967,MISS
22,0.3,0.18,1,Pinch,5.001945,MISS
23,0.6,0.18,1,Touch,5.002541,MISS
24,0.3,0.1,-1,Pinch,5.003098,MISS
25,0.6,0.1,-1,Touch,5.003624,MISS
26,0.3,0.18,-1,Pinch,5.00087,MISS
27,0.6,0.18,-1,Touch,5.002762,MISS
28,0.3,0.1,1,Pinch,5.000755,MISS
29,0.6,0.1,1,Touch,5.003708,MISS
30,0.3,0.18,1,Pinch,5.003616,MISS
31,0.6,0.18,1,Touch,5.000992,MISS
0,0.3,0.1,-1,Pinch,5.003854,MISS
1,0.6,0.1,-1,Touch,5.082552,MISS
2,0.3,0.18,-1,Pinch,4.676228,HIT
3,0.6,0.18,-1,Touch,1.29736,HIT
4,0.3,0.1,1,Pinch,5.011562,MISS
5,0.6,0.1,1,Touch,1.668436,HIT
6,0.3,0.18,1,Pinch,5.000137,MISS
7,0.6,0.18,1,Touch,5.011362,MISS
8,0.3,0.1,-1,Pinch,0.7516747,HIT
9,0.6,0.1,-1,Touch,4.456821,HIT
10,0.3,0.18,-1,Pinch,5.00967,MISS
11,0.6,0.18,-1,Touch,1.750328,HIT
12,0.3,0.1,1,Pinch,5.000629,MISS
13,0.6,0.1,1,Touch,5.021614,MISS
14,0.3,0.18,1,Pinch,0.4529648,HIT
15,0.6,0.18,1,Touch,5.00531,MISS
0,0.3,0.1,-1,Pinch,2.166309,HIT
1,0.6,0.1,-1,Touch,5.001564,MISS
2,0.3,0.18,-1,Pinch,4.246101,HIT
3,0.6,0.18,-1,Touch,1.226022,HIT
4,0.3,0.1,1,Pinch,5.011726,MISS
5,0.6,0.1,1,Touch,5.010187,MISS
6,0.3,0.18,1,Pinch,1.350302,HIT
0,0.3,0.1,-1,Pinch,3.059559,HIT
1,0.6,0.1,-1,Touch,1.12044,HIT
2,0.3,0.18,-1,Pinch,5.00777,MISS
3,0.6,0.18,-1,Touch,0.8322287,HIT
4,0.3,0.1,1,Pinch,5.000872,MISS
5,0.6,0.1,1,Touch,1.099127,HIT
6,0.3,0.18,1,Pinch,5.011736,MISS
7,0.6,0.18,1,Touch,5.011681,MISS
8,0.3,0.1,-1,Pinch,2.143896,HIT
9,0.6,0.1,-1,Touch,5.011124,MISS
10,0.3,0.18,-1,Pinch,5.011604,MISS
11,0.6,0.18,-1,Touch,5.011745,MISS
12,0.3,0.1,1,Pinch,4.594227,HIT
13,0.6,0.1,1,Touch,1.243973,HIT
14,0.3,0.18,1,Pinch,5.005871,MISS
15,0.6,0.18,1,Touch,0.8141289,HIT
16,0.3,0.1,-1,Pinch,5.005177,MISS
17,0.6,0.1,-1,Touch,2.85482,HIT
18,0.3,0.18,-1,Pinch,5.010136,MISS
19,0.6,0.18,-1,Touch,0.9498596,HIT
20,0.3,0.1,1,Pinch,5.00869,MISS
21,0.6,0.1,1,Touch,5.011803,MISS
22,0.3,0.18,1,Pinch,2.171242,HIT
23,0.6,0.18,1,Touch,1.388268,HIT
24,0.3,0.1,-1,Pinch,5.001373,MISS
25,0.6,0.1,-1,Touch,0.9786224,HIT
26,0.3,0.18,-1,Pinch,5.006966,MISS
27,0.6,0.18,-1,Touch,0.8930283,HIT
28,0.3,0.1,1,Pinch,5.009735,MISS
29,0.6,0.1,1,Touch,5.001793,MISS
30,0.3,0.18,1,Pinch,5.005051,MISS
31,0.6,0.18,1,Touch,5.001228,MISS
0,0.3,0.1,-1,Pinch,5.009376,MISS
1,0.6,0.1,-1,Touch,5.01327,MISS
2,0.3,0.18,-1,Pinch,5.011017,MISS
0,0.3,0.1,-1,Pinch,5.010062,MISS
1,0.6,0.1,-1,Touch,5.012972,MISS
2,0.3,0.18,-1,Pinch,5.010931,MISS
3,0.6,0.18,-1,Touch,1.546029,HIT
4,0.3,0.1,1,Pinch,5.011951,MISS
5,0.6,0.1,1,Touch,5.01037,MISS
6,0.3,0.18,1,Pinch,5.012102,MISS
0,0.3,0.1,-1,Pinch,5.008234,MISS
1,0.6,0.1,-1,Touch,0.7117643,HIT
2,0.3,0.18,-1,Pinch,5.010397,MISS
3,0.6,0.18,-1,Touch,2.3096,HIT
4,0.3,0.1,1,Pinch,5.0131,MISS
5,0.6,0.1,1,Touch,2.786898,HIT
6,0.3,0.18,1,Pinch,5.008863,MISS
7,0.6,0.18,1,Touch,0.8511353,HIT
8,0.3,0.1,-1,Pinch,5.009171,MISS
9,0.6,0.1,-1,Touch,0.9308262,HIT
10,0.3,0.18,-1,Pinch,5.013172,MISS
11,0.6,0.18,-1,Touch,1.866825,HIT
12,0.3,0.1,1,Pinch,5.010403,MISS
13,0.6,0.1,1,Touch,1.009598,HIT
14,0.3,0.18,1,Pinch,5.003811,MISS
15,0.6,0.18,1,Touch,0.8361855,HIT
16,0.3,0.1,-1,Pinch,5.010372,MISS
17,0.6,0.1,-1,Touch,1.029625,HIT
18,0.3,0.18,-1,Pinch,5.012417,MISS
19,0.6,0.18,-1,Touch,1.087582,HIT
20,0.3,0.1,1,Pinch,5.00021,MISS
21,0.6,0.1,1,Touch,5.004662,MISS
22,0.3,0.18,1,Pinch,2.865013,HIT
23,0.6,0.18,1,Touch,5.002548,MISS
24,0.3,0.1,-1,Pinch,5.004509,MISS
25,0.6,0.1,-1,Touch,5.003975,MISS
26,0.3,0.18,-1,Pinch,5.000938,MISS
27,0.6,0.18,-1,Touch,5.003273,MISS
28,0.3,0.1,1,Pinch,5.005257,MISS
29,0.6,0.1,1,Touch,5.004128,MISS
0,0.3,0.1,-1,Pinch,1.238002,HIT
1,0.6,0.1,-1,Touch,1.781997,HIT
2,0.3,0.18,-1,Pinch,5.004764,MISS
3,0.6,0.18,-1,Touch,0.7152338,HIT
4,0.3,0.1,1,Pinch,5.006637,MISS
5,0.6,0.1,1,Touch,0.9333611,HIT
6,0.3,0.18,1,Pinch,5.010303,MISS
7,0.6,0.18,1,Touch,5.011755,MISS
8,0.3,0.1,-1,Pinch,1.62907,HIT
9,0.6,0.1,-1,Touch,1.448866,HIT
10,0.3,0.18,-1,Pinch,5.013552,MISS
11,0.6,0.18,-1,Touch,0.6864471,HIT
12,0.3,0.1,1,Pinch,5.003712,MISS
13,0.6,0.1,1,Touch,4.056286,HIT
14,0.3,0.18,1,Pinch,5.006153,MISS
15,0.6,0.18,1,Touch,1.373844,HIT
16,0.3,0.1,-1,Pinch,5.002094,MISS
17,0.6,0.1,-1,Touch,3.217903,HIT
18,0.3,0.18,-1,Pinch,5.009239,MISS
19,0.6,0.18,-1,Touch,0.7107582,HIT
20,0.3,0.1,1,Pinch,5.010628,MISS
21,0.6,0.1,1,Touch,5.002953,MISS
22,0.3,0.18,1,Pinch,0.07350159,HIT
23,0.6,0.18,1,Touch,5.001686,MISS
0,0.3,0.1,-1,Pinch,2.685102,HIT
1,0.6,0.1,-1,Touch,1.174896,HIT
2,0.3,0.18,-1,Pinch,5.009276,MISS
3,0.6,0.18,-1,Touch,0.8107214,HIT
4,0.3,0.1,1,Pinch,5.008406,MISS
5,0.6,0.1,1,Touch,0.9915924,HIT
6,0.3,0.18,1,Pinch,5.00849,MISS
